,x,y
1,-73.97259,40.606671
2,-73.972398,40.605652
3,-73.971379,40.611602
4,-73.962357,40.602203
5,-73.970793,40.603518
6,-73.972352,40.603348
7,-73.972398,40.611491
8,-73.972453,40.602617
9,-73.969525,40.611808
10,-73.972565,40.601794
11,-73.966309,40.609555
12,-73.971913,40.608936
13,-73.970896,40.60905
14,-73.970991,40.604322
15,-73.96997,40.60915
16,-73.968434,40.611927
17,-73.970452,40.611704
18,-73.965224,40.609674
19,-73.962138,40.601626
20,-73.963891,40.60763
21,-73.968656,40.602226
22,-73.97066,40.602808
23,-73.971312,40.605776
24,-73.963297,40.604496
25,-73.962547,40.605226
26,-73.965899,40.60741
27,-73.968634,40.607106
28,-73.962886,40.607021
29,-73.965656,40.606122
30,-73.962985,40.60285
31,-73.967938,40.609371
32,-73.969041,40.609254
33,-73.967402,40.609433
34,-73.965435,40.604954
35,-73.962534,40.600461
36,-73.97143,40.601919
37,-73.96238,40.609986
38,-73.964997,40.60263
39,-73.964816,40.607529
40,-73.964296,40.609777
41,-73.967671,40.609405
42,-73.971506,40.606791
43,-73.963724,40.606758
44,-73.96956,40.607005
45,-73.96337,40.609879
46,-73.970488,40.606905
47,-73.960066,40.603171
48,-73.960444,40.610202
49,-73.962971,40.607729
50,-73.957261,40.608366
51,-73.964344,40.605032
52,-73.969094,40.604551
53,-73.964617,40.606479
54,-73.969576,40.602122
55,-73.970509,40.602021
56,-73.95952,40.610302
57,-73.971761,40.598652
58,-73.961886,40.607336
59,-73.972684,40.594753
60,-73.96754,40.607232
61,-73.961966,40.607843
62,-73.971911,40.599423
63,-73.959612,40.600781
64,-73.961373,40.610099
65,-73.960037,40.60803
66,-73.95828,40.608747
67,-73.967262,40.607262
68,-73.966993,40.60729
69,-73.960909,40.607693
70,-73.96436,40.605115
71,-73.961451,40.601703
72,-73.954695,40.610266
73,-73.960958,40.607953
74,-73.968201,40.599835
75,-73.955598,40.609942
76,-73.967727,40.602328
77,-73.959157,40.608383
78,-73.962562,40.605308
79,-73.957531,40.604824
80,-73.971897,40.594353
81,-73.97163,40.597944
82,-73.970021,40.604444
83,-73.96055,40.603117
84,-73.963912,40.602749
85,-73.955741,40.610715
86,-73.96913,40.599733
87,-73.961495,40.602284
88,-73.96018,40.598419
89,-73.968165,40.604653
90,-73.956502,40.60954
91,-73.968219,40.604937
92,-73.963431,40.605215
93,-73.954869,40.606114
94,-73.963455,40.600363
95,-73.970984,40.59953
96,-73.95865,40.605698
97,-73.959576,40.605596
98,-73.961552,40.603007
99,-73.967072,40.604764
100,-73.959184,40.598526
101,-73.951631,40.611133
102,-73.953552,40.599146
103,-73.970056,40.599632
104,-73.956705,40.610612
105,-73.959136,40.603274
106,-73.963415,40.605131
107,-73.953225,40.610759
108,-73.967226,40.60557
109,-73.954796,40.61082
110,-73.957406,40.609131
111,-73.972478,40.59382
112,-73.952577,40.611129
113,-73.971533,40.596369
114,-73.960363,40.600698
115,-73.961679,40.60467
116,-73.966953,40.605652
117,-73.966532,40.604834
118,-73.955393,40.603683
119,-73.958593,40.610403
120,-73.966796,40.604802
121,-73.95256,40.610996
122,-73.966703,40.605734
123,-73.970296,40.59592
124,-73.957332,40.598731
125,-73.953543,40.610659
126,-73.964541,40.600242
127,-73.961363,40.600589
128,-73.971329,40.596353
129,-73.951669,40.611304
130,-73.96963,40.597379
131,-73.95821,40.603373
132,-73.950374,40.599495
133,-73.955412,40.603787
134,-73.971782,40.593756
135,-73.968302,40.59536
136,-73.954432,40.60379
137,-73.960732,40.60547
138,-73.953922,40.606217
139,-73.961185,40.598312
140,-73.956402,40.598833
141,-73.970111,40.594957
142,-73.957669,40.610504
143,-73.953587,40.610965
144,-73.958683,40.600885
145,-73.950788,40.611746
146,-73.953978,40.601401
147,-73.950299,40.609125
148,-73.950778,40.611635
149,-73.971082,40.595049
150,-73.956298,40.608466
151,-73.958257,40.598629
152,-73.971765,40.595112
153,-73.950746,40.611499
154,-73.953176,40.608817
155,-73.957283,40.60347
156,-73.95878,40.596407
157,-73.951145,40.611418
158,-73.951382,40.599382
159,-73.951229,40.609023
160,-73.95181,40.601653
161,-73.954511,40.599035
162,-73.969853,40.594949
163,-73.949376,40.609228
164,-73.966357,40.60248
165,-73.953037,40.601506
166,-73.961732,40.605358
167,-73.957724,40.6058
168,-73.953485,40.603891
169,-73.962103,40.598206
170,-73.95683,40.601087
171,-73.971484,40.597172
172,-73.954622,40.594422
173,-73.949784,40.611372
174,-73.970556,40.597274
175,-73.952267,40.604039
176,-73.949973,40.597377
177,-73.96663,40.602448
178,-73.955334,40.608573
179,-73.950801,40.601749
180,-73.956795,40.605903
181,-73.95315,40.597028
182,-73.952158,40.608921
183,-73.950701,40.611236
184,-73.954389,40.608675
185,-73.971989,40.593775
186,-73.962299,40.594218
187,-73.951252,40.604139
188,-73.9499,40.597003
189,-73.966256,40.594559
190,-73.955831,40.606008
191,-73.949519,40.594985
192,-73.948521,40.599697
193,-73.963034,40.598102
194,-73.9661,40.60251
195,-73.950853,40.596614
196,-73.952545,40.599251
197,-73.959777,40.596299
198,-73.950979,40.597271
199,-73.955476,40.598938
200,-73.952709,40.606353
201,-73.949448,40.599598
202,-73.967273,40.599939
203,-73.962633,40.595986
204,-73.968776,40.592869
205,-73.948822,40.611498
206,-73.957757,40.600986
207,-73.948414,40.609333
208,-73.967376,40.595461
209,-73.957853,40.596511
210,-73.969152,40.59485
211,-73.950518,40.594882
212,-73.951691,40.606462
213,-73.954942,40.601297
214,-73.949023,40.597349
215,-73.972673,40.592439
216,-73.956928,40.596612
217,-73.968703,40.597479
218,-73.952204,40.597131
219,-73.950764,40.606565
220,-73.959462,40.594584
221,-73.95202,40.59616
222,-73.968185,40.594744
223,-73.955076,40.596816
224,-73.948023,40.602056
225,-73.957462,40.594439
226,-73.949051,40.597495
227,-73.963403,40.594319
228,-73.950327,40.604242
229,-73.967849,40.592971
230,-73.94895,40.601954
231,-73.956354,40.603579
232,-73.954223,40.592308
233,-73.954735,40.595029
234,-73.963693,40.595872
235,-73.953812,40.595343
236,-73.967221,40.594652
237,-73.948911,40.606768
238,-73.958368,40.594228
239,-73.949398,40.604344
240,-73.947883,40.611607
241,-73.952912,40.595752
242,-73.95411,40.59692
243,-73.969228,40.595256
244,-73.949874,40.601853
245,-73.955905,40.601191
246,-73.967777,40.59758
247,-73.960789,40.593014
248,-73.94819,40.592967
249,-73.959393,40.593909
250,-73.971555,40.59256
251,-73.949116,40.592868
252,-73.952699,40.594637
253,-73.966449,40.595567
254,-73.948116,40.597566
255,-73.956556,40.594648
256,-73.962992,40.592074
257,-73.955648,40.59485
258,-73.970628,40.592664
259,-73.956001,40.596714
260,-73.949837,40.606667
261,-73.959135,40.592504
262,-73.94859,40.595088
263,-73.96685,40.597683
264,-73.965637,40.600121
265,-73.966173,40.600057
266,-73.958798,40.593931
267,-73.961028,40.596161
268,-73.959263,40.593179
269,-73.9523,40.592514
270,-73.964117,40.597986
271,-73.960736,40.592327
272,-73.951754,40.594738
273,-73.948138,40.597697
274,-73.965117,40.594449
275,-73.948473,40.604446
276,-73.963122,40.592759
277,-73.965904,40.60009
278,-73.965076,40.595717
279,-73.960845,40.593743
280,-73.96573,40.597805
281,-73.953659,40.59453
282,-73.961703,40.596092
283,-73.958869,40.594058
284,-73.960888,40.594365
285,-73.965352,40.595685
286,-73.947948,40.606876
287,-73.963262,40.593478
288,-73.965477,40.597832
289,-73.950134,40.59276
290,-73.964815,40.595747
291,-73.966924,40.593074
292,-73.969703,40.592766
293,-73.964493,40.592604
294,-73.965213,40.597861
295,-73.965996,40.593175
296,-73.964828,40.594408
297,-73.95326,40.592413
298,-73.964547,40.594417
299,-73.957676,40.591928
300,-73.964899,40.593301
301,-73.964337,40.593356
302,-73.964619,40.593327
303,-73.951349,40.592622
304,-73.955148,40.592207
305,-73.957003,40.592002
306,-73.956077,40.592101
307,-73.972206,40.6042
